"logposterior","loglikelihood","logprior"
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.37736814885498490e+05,-4.37695155252312543e+05,-4.16596331859195672e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
-4.33276413332372322e+05,-4.33234659578861960e+05,-4.17537535103344695e+01
